sku,name,price,link
00025445,"
                                    Кросівки Hoka One One M Torrent 3                                ",5 999 грн,https://www.gorgany.com/krosivki-hoka-one-one-m-torrent-3.html
00025444,"
                                    Кросівки Hoka One One W Clifton 9                                 ",6 499 грн,https://www.gorgany.com/krosivki-hoka-one-one-w-clifton-9.html
00022886,"
                                    Кросівки Salewa Wildfire Leather GTX Mns                                ",7 645 грн,https://www.gorgany.com/krosivki-salewa-wildfire-leather-gtx-mns.html
00009921,"
                                    Кросівки Dynafit Feline SL Wms                                ",6 845 грн,https://www.gorgany.com/krosivky-dynafit-feline-sl-wms.html
00012965,"
                                    Кросівки Scarpa Mojito GTX                                ",7 006 грн,https://www.gorgany.com/krosivky-scarpa-mojito-gtx.html
00009773,"
                                    Кросівки Salewa MS MTN Trainer Lite                                ",6 745 грн,https://www.gorgany.com/krosivky-salewa-ms-mtn-trainer-lite.html
00009774,"
                                    Кросівки Salewa WS MTN Trainer Lite                                 ",6 745 грн,https://www.gorgany.com/krosivky-salewa-ws-mtn-trainer-lite.html
00014070,"
                                    Кросівки Dynafit Alpine Mns                                ",6 945 грн,https://www.gorgany.com/krosivky-dynafit-alpine-mns.html
00-00011870,"
                                    Кросівки Zamberlan Hike Lite GTX Wns                                ",6 995 грн,https://www.gorgany.com/krosivky-zamberlan-hike-lite-gtx-wns.html
00024825,"
                                    Кросівки Salewa Pedroc PTX Wms                                ",8 095 грн,https://www.gorgany.com/krosivky-salewa-pedroc-ptx-wms.html
00016465,"
                                    Кросівки Dynafit Ultra 50 GTX Wms                                ",7 945 грн,https://www.gorgany.com/krosivky-dynafit-ultra-50-gtx-wms.html
00014069,"
                                    Кросівки Dynafit Alpine DNA W                                ",7 945 грн,https://www.gorgany.com/krosivky-dynafit-alpine-dna-w.html
00005066,"
                                    Кросівки Salewa MS Wildfire Edge                                ",7 445 грн,https://www.gorgany.com/krosivky-salewa-ms-wildfire-edge.html
00018102,"
                                    Кросівки Salewa WS Wildfire Canvas                                ",5 945 грн,https://www.gorgany.com/krosivky-salewa-ws-wildfire-canvas.html
00018225,"
                                    Кросівки Dynafit Ultra 50 Wms                                ",6 645 грн,https://www.gorgany.com/sneakers-dynafit-ultra-50-wms.html
00024832,"
                                    Кросівки Dynafit Transalper Mns                                ",7 545 грн,https://www.gorgany.com/krosivky-dynafit-transalper-mns.html
00018229,"
                                    Кросівки Dynafit Transalper GTX Wms                                ",8 345 грн,https://www.gorgany.com/krosivky-dynafit-transalper-gtx-wms.html
00012203,"
                                    Кросівки Dynafit Feeline SL GTX Mns                                ",7 150 грн,https://www.gorgany.com/sneakers-dynafit-feeline-sl-gtx-mns.html
00022017,"
                                    Кросівки Black Diamond Mission XP LTH Mns                                ",6 630 грн,https://www.gorgany.com/krosivky-black-diamond-mission-xp-lth-mns.html
00018228,"
                                    Кросівки Dynafit Transalper GTX Mns                                ",8 345 грн,https://www.gorgany.com/krosivky-dynafit-transalper-gtx-mns.html
